country,target_iso3,source_year,analysis_scope,n_mentions,n_speeches,n_speakers,mean_concreteness,mean_sentiment
SRB,UKR,2015,reciprocal_asymmetry_candidate,2,2,2,3.218,2.1820001006126404
SRB,UKR,2019,reciprocal_asymmetry_candidate,2,2,2,3.239,0.0755000002682209
SRB,UKR,2020,reciprocal_asymmetry_candidate,1,1,1,3.292,-0.035999998450279236
SRB,UKR,2021,reciprocal_asymmetry_candidate,3,1,1,3.269666666666667,0.3276666689198464
SVN,UKR,2015,reciprocal_asymmetry_candidate,17,5,4,3.2372941176470587,1.7038823611596052
SVN,UKR,2016,reciprocal_asymmetry_candidate,25,14,6,3.2593599999999996,0.8786400015652179
SVN,UKR,2017,reciprocal_asymmetry_candidate,9,7,4,3.234666666666667,1.1913333477245436
SVN,UKR,2018,reciprocal_asymmetry_candidate,8,7,4,3.221125,1.2529999949038029
SVN,UKR,2019,reciprocal_asymmetry_candidate,3,3,2,3.22,2.7746666272481284
SVN,UKR,2020,reciprocal_asymmetry_candidate,1,1,1,3.243,2.9200000762939453
SVN,UKR,2021,reciprocal_asymmetry_candidate,1,1,1,3.184,0.8460000157356262
SVN,UKR,2022,reciprocal_asymmetry_candidate,28,15,13,3.252928571428572,1.9925357294268906
SWE,UKR,2015,reciprocal_asymmetry_candidate,4,4,3,3.2505,1.8682499676942825
SWE,UKR,2016,reciprocal_asymmetry_candidate,18,13,11,3.230166666666667,1.0061111082840297
SWE,UKR,2017,reciprocal_asymmetry_candidate,4,4,4,3.2145,0.3280000016093254
SWE,UKR,2018,reciprocal_asymmetry_candidate,5,5,5,3.2171999999999996,2.191599953174591
SWE,UKR,2019,reciprocal_asymmetry_candidate,4,4,4,3.2715,1.8647500351071358
SWE,UKR,2020,reciprocal_asymmetry_candidate,8,4,3,3.2775,2.607124961912632
SWE,UKR,2021,reciprocal_asymmetry_candidate,32,15,10,3.24309375,1.7699999995529652
SWE,UKR,2022,reciprocal_asymmetry_candidate,234,127,67,3.2604316239316242,2.1087521323536196
TUR,UKR,2016,reciprocal_asymmetry_candidate,3,3,3,3.217,2.837666670481364
TUR,UKR,2017,reciprocal_asymmetry_candidate,1,1,1,3.218,0.125
TUR,UKR,2018,reciprocal_asymmetry_candidate,2,2,2,3.2535,1.738000050187111
TUR,UKR,2020,reciprocal_asymmetry_candidate,6,4,4,3.2803333333333335,1.0166666693985462
TUR,UKR,2021,reciprocal_asymmetry_candidate,1,1,1,3.114,0.02500000037252903
TUR,UKR,2022,reciprocal_asymmetry_candidate,20,15,11,3.2392000000000003,1.3875499880872666
